Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Sex_I,Sex_M,Rings
0.615,0.47,0.155,1.2,0.5085,0.32,0.292,False,True,8
0.605,0.485,0.16,1.201,0.417,0.2875,0.38,False,False,9
0.35,0.25,0.1,0.4015,0.1725,0.063,0.1255,True,False,7
0.62,0.51,0.18,1.3315,0.594,0.276,0.388,False,False,11
0.675,0.515,0.145,1.265,0.6025,0.299,0.325,False,True,10
0.59,0.44,0.135,0.966,0.439,0.2145,0.2605,False,True,10
0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,False,False,10
0.6,0.47,0.135,0.97,0.4655,0.1955,0.264,False,False,11
0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,False,False,10
0.57,0.465,0.155,0.9685,0.446,0.261,0.255,False,False,9
0.675,0.51,0.15,1.1965,0.475,0.304,0.386,False,False,11
0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,False,False,7
0.455,0.37,0.11,0.514,0.2385,0.1235,0.126,True,False,8
0.52,0.415,0.175,0.753,0.258,0.171,0.255,False,True,8
0.515,0.435,0.17,0.631,0.2765,0.111,0.216,False,False,12
0.4,0.315,0.09,0.33,0.151,0.068,0.08,True,False,6
0.54,0.405,0.125,0.891,0.4815,0.1915,0.202,False,True,9
0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,False,True,15
0.555,0.44,0.15,0.755,0.307,0.1525,0.26,False,True,12
0.48,0.355,0.11,0.4495,0.201,0.089,0.14,True,False,8
0.535,0.41,0.15,0.8105,0.345,0.187,0.24,False,True,11
0.58,0.43,0.17,1.48,0.6535,0.324,0.4155,False,False,10
0.71,0.56,0.18,1.652,0.735,0.381,0.4525,False,False,11
0.515,0.385,0.11,0.5785,0.253,0.16,0.14,False,True,8
0.5,0.39,0.125,0.5215,0.2485,0.117,0.131,False,True,6
0.59,0.485,0.155,1.0785,0.4535,0.2435,0.31,False,True,9
0.32,0.24,0.07,0.133,0.0585,0.0255,0.041,True,False,6
0.275,0.205,0.08,0.096,0.036,0.0185,0.03,True,False,6
0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,False,True,13
0.58,0.475,0.155,0.974,0.4305,0.23,0.285,False,False,10
0.58,0.45,0.15,0.92,0.393,0.212,0.2895,False,False,9
0.45,0.33,0.105,0.4955,0.2575,0.082,0.129,False,True,8
0.52,0.39,0.12,0.6435,0.2885,0.157,0.161,False,True,7
0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,False,True,11
0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041,True,False,6
0.575,0.455,0.155,1.013,0.4685,0.2085,0.295,False,True,11
0.28,0.12,0.075,0.117,0.0455,0.029,0.0345,True,False,4
0.485,0.38,0.12,0.4725,0.2075,0.1075,0.147,True,False,6
0.6,0.5,0.155,1.332,0.6235,0.2835,0.35,False,False,8
0.13,0.1,0.03,0.013,0.0045,0.003,0.004,True,False,3
0.63,0.49,0.17,1.217,0.5515,0.212,0.31,True,False,11
0.645,0.5,0.225,1.626,0.587,0.4055,0.41,False,False,15
0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,False,True,9
0.55,0.425,0.135,0.656,0.257,0.17,0.203,True,False,10
0.75,0.615,0.205,2.2635,0.821,0.423,0.726,False,False,12
0.725,0.56,0.21,2.141,0.65,0.398,1.005,False,False,18
0.345,0.255,0.1,0.197,0.071,0.051,0.06,False,False,9
0.62,0.5,0.17,1.148,0.5475,0.22,0.3315,False,False,10
0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,False,False,12
0.48,0.38,0.13,0.6175,0.3,0.142,0.175,False,True,12
0.505,0.39,0.175,0.692,0.267,0.15,0.215,False,False,12
0.7,0.525,0.19,1.6015,0.707,0.365,0.43,False,False,10
0.455,0.37,0.125,0.433,0.201,0.1265,0.145,True,False,9
0.37,0.28,0.095,0.2225,0.0805,0.051,0.075,False,True,7
0.44,0.325,0.09,0.35,0.148,0.067,0.105,True,False,7
0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095,False,True,5
0.61,0.48,0.14,1.031,0.4375,0.2615,0.27,False,True,8
0.43,0.335,0.105,0.378,0.188,0.0785,0.09,True,False,6
0.63,0.495,0.175,1.2695,0.605,0.271,0.328,False,True,11
0.495,0.375,0.15,0.597,0.2615,0.135,0.178,False,False,11
0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815,False,False,8
0.63,0.49,0.16,1.09,0.407,0.224,0.354,False,True,12
0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,True,False,17
0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,True,False,12
0.38,0.32,0.115,0.6475,0.323,0.1325,0.164,False,False,7
0.45,0.33,0.1,0.411,0.1945,0.1,0.098,True,False,6
0.545,0.41,0.145,0.873,0.3035,0.196,0.31,False,True,18
0.48,0.335,0.125,0.524,0.246,0.1095,0.145,True,False,7
0.585,0.42,0.155,1.034,0.437,0.2225,0.32,False,False,11
0.18,0.13,0.045,0.0275,0.0125,0.01,0.009,True,False,3
0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,False,False,10
0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,True,False,9
0.66,0.52,0.18,1.514,0.526,0.2975,0.42,False,False,19
0.5,0.375,0.115,0.5945,0.185,0.148,0.19,False,False,11
0.55,0.425,0.135,0.8515,0.362,0.196,0.27,False,False,14
0.43,0.34,0.1,0.3405,0.1395,0.0665,0.12,True,False,8
0.205,0.15,0.065,0.04,0.02,0.011,0.013,True,False,4
0.45,0.36,0.125,0.45,0.191,0.0865,0.145,True,False,12
0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,False,False,7
0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,True,False,8
0.55,0.43,0.15,0.84,0.395,0.195,0.223,False,False,8
0.58,0.445,0.15,0.858,0.4,0.156,0.253,False,False,8
0.72,0.56,0.18,1.5865,0.691,0.375,0.4425,False,True,11
0.655,0.54,0.175,1.5585,0.7285,0.402,0.385,False,False,11
0.62,0.46,0.16,0.9505,0.4915,0.2,0.228,False,True,9
0.41,0.32,0.095,0.2905,0.141,0.063,0.073,True,False,5
0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,False,False,12
0.615,0.455,0.145,1.1155,0.5045,0.238,0.315,False,False,10
0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,False,True,9
0.545,0.43,0.155,0.8035,0.409,0.144,0.228,False,True,7
0.625,0.475,0.16,1.0845,0.5005,0.2355,0.3105,False,True,10
0.63,0.485,0.18,1.2435,0.5175,0.308,0.37,False,True,11
0.66,0.5,0.165,1.3195,0.667,0.269,0.341,False,True,9
0.455,0.35,0.105,0.4445,0.213,0.107,0.1115,True,False,7
0.445,0.325,0.1,0.378,0.1795,0.1,0.089,True,False,7
0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285,False,False,12
0.555,0.455,0.135,0.837,0.382,0.171,0.235,False,True,9
0.565,0.435,0.185,1.032,0.354,0.2045,0.31,False,True,20
0.695,0.55,0.185,1.679,0.805,0.4015,0.3965,False,False,10
0.575,0.455,0.145,1.165,0.581,0.2275,0.3,False,True,14
0.605,0.49,0.18,1.227,0.48,0.287,0.35,False,True,18
0.54,0.43,0.17,0.836,0.3725,0.1815,0.24,True,False,9
0.535,0.42,0.13,0.8055,0.301,0.181,0.28,False,True,14
0.425,0.35,0.105,0.393,0.13,0.063,0.165,False,True,9
0.385,0.29,0.1,0.2575,0.1,0.061,0.086,True,False,6
0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,False,False,29
0.645,0.495,0.15,1.2095,0.603,0.2225,0.339,False,True,9
0.47,0.365,0.12,0.543,0.2295,0.1495,0.15,False,False,9
0.66,0.53,0.17,1.431,0.622,0.309,0.398,False,False,10
0.29,0.215,0.065,0.0985,0.0425,0.021,0.031,True,False,5
0.39,0.3,0.1,0.2665,0.1105,0.059,0.084,True,False,7
0.55,0.44,0.135,0.879,0.368,0.2095,0.265,False,True,10
0.385,0.28,0.125,0.244,0.102,0.038,0.085,True,False,6
0.52,0.415,0.14,0.6385,0.2945,0.1405,0.171,True,False,8
0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,True,False,9
0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265,False,True,10
0.375,0.27,0.135,0.597,0.272,0.131,0.1675,False,False,7
0.37,0.28,0.105,0.224,0.0815,0.0575,0.075,False,True,8
0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,True,False,4
0.52,0.395,0.135,0.633,0.2985,0.1295,0.175,True,False,9
0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,False,True,18
0.39,0.31,0.105,0.2665,0.1185,0.0525,0.081,True,False,8
0.61,0.45,0.13,0.8725,0.389,0.1715,0.272,False,False,11
0.725,0.55,0.22,2.0495,0.7735,0.4405,0.655,True,False,10
0.62,0.5,0.175,1.107,0.4895,0.24,0.343,False,False,11
0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475,True,False,9
0.47,0.355,0.12,0.393,0.167,0.0885,0.115,True,False,8
0.69,0.525,0.19,1.492,0.6425,0.3905,0.42,False,False,12
0.575,0.455,0.185,1.156,0.5525,0.243,0.295,False,True,13
0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215,False,True,8
0.425,0.335,0.095,0.322,0.1205,0.061,0.125,False,False,10
0.34,0.26,0.08,0.2,0.08,0.0555,0.055,True,False,6
0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,True,False,8
0.54,0.405,0.15,0.7585,0.307,0.2075,0.19,True,False,10
0.46,0.355,0.11,0.4255,0.2015,0.081,0.13,True,False,7
0.735,0.565,0.225,2.037,0.87,0.5145,0.5675,False,False,13
0.59,0.48,0.16,1.262,0.5685,0.2725,0.335,False,True,9
0.535,0.435,0.14,0.874,0.3735,0.229,0.2195,False,True,8
0.31,0.245,0.095,0.15,0.0525,0.034,0.048,False,True,7
0.725,0.6,0.2,1.737,0.697,0.3585,0.595,False,False,11
0.575,0.45,0.145,0.872,0.4675,0.18,0.217,True,False,9
0.48,0.38,0.12,0.608,0.2705,0.1405,0.185,False,False,8
0.34,0.25,0.07,0.2225,0.104,0.0425,0.055,True,False,7
0.545,0.42,0.145,0.778,0.3745,0.1545,0.205,False,True,7
0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,False,True,10
0.63,0.5,0.185,1.362,0.5785,0.3125,0.384,False,True,10
0.56,0.455,0.19,0.714,0.283,0.129,0.275,False,False,9
0.32,0.24,0.085,0.17,0.0655,0.047,0.049,False,True,7
0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,False,True,23
0.455,0.35,0.12,0.4555,0.1945,0.1045,0.1375,False,False,7
0.435,0.35,0.11,0.384,0.143,0.1005,0.125,False,False,13
0.565,0.445,0.15,0.796,0.3635,0.184,0.219,False,True,8
0.53,0.435,0.155,0.699,0.288,0.1595,0.205,False,True,10
0.575,0.45,0.155,0.948,0.429,0.206,0.259,False,True,7
0.615,0.475,0.155,1.0735,0.4375,0.2585,0.31,False,True,11
0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615,True,False,7
0.515,0.395,0.125,0.556,0.2695,0.096,0.17,True,False,8
0.57,0.44,0.175,0.9415,0.3805,0.2285,0.283,False,True,9
0.585,0.455,0.165,0.998,0.345,0.2495,0.315,False,False,12
0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,False,False,11
0.62,0.485,0.155,1.049,0.462,0.231,0.25,False,True,10
0.58,0.455,0.17,0.93,0.408,0.259,0.22,False,True,9
0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,True,False,7
0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,True,False,18
0.39,0.29,0.09,0.2625,0.117,0.054,0.077,True,False,7
0.64,0.48,0.145,1.1145,0.508,0.24,0.34,False,False,10
0.54,0.41,0.145,0.989,0.2815,0.213,0.355,False,True,19
0.53,0.425,0.13,0.717,0.2115,0.166,0.255,False,False,13
0.625,0.495,0.185,1.3835,0.7105,0.3005,0.345,False,True,11
0.375,0.28,0.08,0.2235,0.115,0.043,0.055,True,False,6
0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,False,True,8
0.59,0.475,0.155,0.857,0.356,0.174,0.28,False,True,13
0.47,0.375,0.13,0.5795,0.2145,0.164,0.195,False,True,13
0.655,0.53,0.19,1.428,0.493,0.318,0.565,False,False,18
0.55,0.42,0.145,0.7385,0.321,0.1485,0.252,False,True,11
0.67,0.52,0.165,1.39,0.711,0.2865,0.3,False,True,11
0.42,0.305,0.09,0.328,0.168,0.0615,0.082,True,False,6
0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855,True,False,9
0.57,0.45,0.135,1.02,0.546,0.204,0.25,False,True,9
0.63,0.51,0.185,1.235,0.5115,0.349,0.3065,False,False,11
0.555,0.425,0.15,0.873,0.4625,0.1845,0.1965,False,True,9
0.425,0.335,0.1,0.4085,0.1755,0.092,0.135,False,True,9
0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095,False,True,7
0.37,0.28,0.09,0.233,0.0905,0.0545,0.07,True,False,11
0.605,0.48,0.14,0.991,0.4735,0.2345,0.24,False,False,8
0.275,0.2,0.07,0.096,0.037,0.0225,0.03,True,False,6
0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,False,False,8
0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,False,True,13
0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,False,False,10
0.52,0.385,0.115,0.581,0.2555,0.156,0.143,True,False,10
0.26,0.2,0.07,0.092,0.037,0.02,0.03,True,False,6
0.47,0.36,0.105,0.544,0.27,0.1395,0.129,False,True,7
0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39,False,True,10
0.48,0.375,0.145,0.777,0.216,0.13,0.17,False,True,9
0.595,0.475,0.17,1.247,0.48,0.225,0.425,False,False,20
0.64,0.485,0.185,1.4195,0.6735,0.3465,0.3255,False,False,11
0.6,0.485,0.145,0.776,0.3545,0.1585,0.239,False,False,9
0.275,0.175,0.09,0.2315,0.096,0.057,0.0705,True,False,5
0.52,0.405,0.14,0.8175,0.2795,0.183,0.26,False,False,17
0.645,0.52,0.21,1.5535,0.616,0.3655,0.474,False,False,16
0.605,0.475,0.155,1.161,0.572,0.2455,0.275,False,True,9
0.345,0.255,0.08,0.169,0.06,0.0425,0.054,False,True,10
0.525,0.4,0.145,0.6095,0.248,0.159,0.175,True,False,9
0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,False,False,17
0.48,0.37,0.12,0.514,0.2075,0.131,0.155,True,False,13
0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165,False,True,10
0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,True,False,8
0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,True,False,7
0.41,0.3,0.09,0.304,0.129,0.071,0.0955,True,False,8
0.58,0.42,0.14,0.701,0.3285,0.102,0.2255,True,False,9
0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,True,False,15
0.645,0.5,0.15,1.159,0.4675,0.3355,0.31,False,False,9
0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,False,False,8
0.545,0.445,0.175,0.8525,0.3465,0.189,0.295,False,False,13
0.45,0.36,0.16,0.567,0.174,0.1245,0.225,False,True,12
0.42,0.31,0.1,0.2865,0.115,0.0735,0.085,True,False,8
0.32,0.235,0.08,0.1485,0.064,0.031,0.045,True,False,6
0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,False,True,10
0.49,0.4,0.135,0.624,0.3035,0.1285,0.169,True,False,8
0.55,0.425,0.145,0.89,0.4325,0.171,0.236,True,False,10
0.59,0.47,0.17,0.9,0.355,0.1905,0.25,False,False,11
0.56,0.44,0.13,0.7235,0.349,0.149,0.2,True,False,8
0.575,0.45,0.1,0.9315,0.431,0.222,0.235,False,False,12
0.31,0.215,0.075,0.1275,0.0565,0.0275,0.036,True,False,7
0.555,0.44,0.14,0.846,0.346,0.1715,0.2735,False,False,10
0.5,0.38,0.125,0.577,0.269,0.1265,0.1535,False,True,9
0.605,0.49,0.145,1.3,0.517,0.3285,0.31,False,True,14
0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,False,True,4
0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,True,False,10
0.56,0.435,0.18,0.889,0.36,0.204,0.25,False,True,11
0.5,0.375,0.12,0.542,0.215,0.116,0.17,True,False,9
0.405,0.31,0.12,0.3095,0.138,0.058,0.095,False,False,13
0.585,0.46,0.17,1.0835,0.3745,0.326,0.325,False,False,14
0.475,0.36,0.125,0.447,0.1695,0.081,0.14,False,False,9
0.38,0.285,0.095,0.243,0.0895,0.0665,0.075,True,False,7
0.33,0.25,0.075,0.1405,0.056,0.035,0.05,True,False,5
0.585,0.45,0.15,0.997,0.4055,0.283,0.251,False,True,11
0.645,0.485,0.155,1.489,0.5915,0.312,0.38,False,True,18
0.63,0.5,0.155,1.005,0.367,0.199,0.36,False,False,16
0.56,0.44,0.155,0.811,0.3685,0.178,0.235,True,False,11
0.65,0.535,0.175,1.2895,0.6095,0.2765,0.344,False,False,10
0.475,0.37,0.125,0.649,0.347,0.136,0.142,False,True,8
0.495,0.39,0.15,0.853,0.3285,0.189,0.27,False,True,14
0.65,0.525,0.18,1.626,0.597,0.3445,0.53,True,False,18
0.475,0.365,0.115,0.49,0.223,0.1235,0.1335,True,False,9
0.53,0.41,0.165,0.8115,0.24,0.169,0.24,False,False,19
0.395,0.27,0.1,0.2985,0.1445,0.061,0.082,True,False,5
0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,False,False,11
0.57,0.465,0.125,0.849,0.3785,0.1765,0.24,False,True,15
0.515,0.375,0.11,0.6065,0.3005,0.131,0.15,False,False,6
0.435,0.335,0.11,0.383,0.1555,0.0675,0.135,True,False,12
0.36,0.265,0.085,0.1895,0.0725,0.0515,0.055,True,False,6
0.62,0.48,0.23,1.0935,0.403,0.245,0.355,False,False,14
0.495,0.38,0.12,0.573,0.2655,0.1285,0.144,False,False,7
0.625,0.49,0.12,0.8765,0.456,0.18,0.233,False,True,10
0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308,False,False,10
0.595,0.46,0.155,1.03,0.4275,0.207,0.3305,False,True,10
0.64,0.585,0.195,1.647,0.7225,0.331,0.471,False,True,12
0.59,0.475,0.165,1.077,0.4545,0.244,0.3095,False,True,9
0.345,0.255,0.085,0.2005,0.105,0.037,0.05,True,False,5
0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,False,False,9
0.625,0.495,0.175,1.2935,0.5805,0.317,0.355,False,True,9
0.58,0.47,0.15,0.907,0.444,0.1855,0.2445,True,False,11
0.53,0.42,0.185,0.752,0.299,0.156,0.205,True,False,20
0.72,0.55,0.18,1.52,0.637,0.325,0.435,False,False,10
0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,False,False,9
0.53,0.415,0.12,0.706,0.3355,0.1635,0.1345,False,True,9
0.315,0.235,0.07,0.149,0.058,0.0325,0.047,True,False,7
0.595,0.48,0.15,1.11,0.498,0.228,0.33,False,False,10
0.535,0.4,0.15,1.224,0.618,0.275,0.2875,False,False,10
0.4,0.32,0.095,0.348,0.194,0.053,0.087,True,False,6
0.15,0.1,0.025,0.015,0.0045,0.004,0.005,True,False,2
0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,False,False,9
0.3,0.23,0.075,0.127,0.052,0.03,0.0345,True,False,6
0.505,0.405,0.18,0.606,0.239,0.1235,0.18,False,False,11
0.6,0.47,0.165,1.059,0.504,0.241,0.275,False,True,9
0.6,0.475,0.15,1.13,0.575,0.196,0.305,False,False,9
0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,False,False,12
0.5,0.39,0.13,0.709,0.275,0.168,0.18,False,True,11
0.52,0.39,0.14,0.7325,0.2415,0.144,0.26,True,False,19
0.375,0.275,0.085,0.22,0.109,0.05,0.0605,True,False,7
0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,True,False,8
0.61,0.48,0.16,1.234,0.598,0.238,0.315,False,False,12
0.5,0.39,0.13,0.6355,0.2505,0.1635,0.195,False,False,15
0.39,0.315,0.09,0.3095,0.147,0.05,0.09,True,False,7
0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185,False,False,9
0.545,0.42,0.175,0.754,0.256,0.1775,0.275,False,False,10
0.585,0.455,0.17,0.9945,0.4255,0.263,0.2845,False,False,11
0.625,0.47,0.145,0.984,0.475,0.2,0.265,False,False,11
0.575,0.45,0.12,0.9585,0.447,0.169,0.275,False,False,12
0.46,0.35,0.1,0.471,0.252,0.077,0.123,True,False,8
0.605,0.49,0.155,1.153,0.503,0.2505,0.295,False,True,15
0.5,0.365,0.125,0.528,0.229,0.103,0.1645,True,False,9
0.63,0.505,0.18,1.272,0.6025,0.295,0.315,True,False,11
0.595,0.47,0.165,1.108,0.4915,0.2325,0.3345,False,True,9
0.65,0.505,0.165,1.16,0.4785,0.274,0.349,False,False,11
0.705,0.55,0.17,1.219,0.6395,0.236,0.301,False,False,9
0.555,0.43,0.14,0.7545,0.3525,0.1835,0.2015,False,False,9
0.59,0.47,0.15,0.861,0.413,0.164,0.249,False,True,8
0.6,0.495,0.175,1.3005,0.6195,0.284,0.3285,False,True,11
0.58,0.45,0.195,0.8265,0.4035,0.173,0.225,False,False,9
0.56,0.43,0.15,0.8745,0.453,0.161,0.22,False,False,8
0.415,0.315,0.125,0.388,0.068,0.09,0.125,False,True,12
0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,False,True,16
0.57,0.42,0.155,1.008,0.377,0.193,0.34,False,True,13
0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,True,False,4
0.565,0.47,0.195,1.142,0.387,0.258,0.35,False,True,17
0.455,0.33,0.1,0.372,0.358,0.0775,0.11,True,False,8
0.33,0.26,0.08,0.19,0.0765,0.0385,0.065,True,False,7
0.5,0.385,0.12,0.56,0.2835,0.103,0.135,True,False,8
0.54,0.425,0.13,0.7205,0.2955,0.169,0.225,True,False,10
0.255,0.195,0.055,0.0725,0.0285,0.017,0.021,True,False,4
0.335,0.25,0.075,0.1825,0.0705,0.044,0.055,True,False,7
0.375,0.29,0.1,0.219,0.0925,0.038,0.075,True,False,6
0.545,0.375,0.12,0.543,0.2375,0.1155,0.1725,True,False,8
0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165,False,False,6
0.615,0.48,0.175,1.118,0.446,0.3195,0.3,False,True,9
0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195,True,False,9
0.585,0.455,0.15,0.906,0.4095,0.23,0.2335,False,True,8
0.61,0.48,0.15,1.2,0.56,0.2455,0.28,False,True,14
0.61,0.46,0.16,1.0,0.494,0.197,0.275,False,True,10
0.61,0.5,0.18,1.438,0.5185,0.3735,0.3345,False,False,9
0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,False,True,7
0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,False,True,18
0.64,0.49,0.14,1.194,0.4445,0.238,0.375,False,True,15
0.645,0.5,0.17,1.1845,0.4805,0.274,0.355,False,False,13
0.62,0.54,0.165,1.139,0.4995,0.2435,0.357,False,False,11
0.45,0.35,0.145,0.5425,0.1765,0.123,0.175,False,False,13
0.335,0.255,0.085,0.1785,0.071,0.0405,0.055,True,False,9
0.655,0.525,0.16,1.46,0.686,0.311,0.405,False,True,11
0.4,0.315,0.085,0.2675,0.116,0.0585,0.0765,True,False,6
0.61,0.47,0.16,1.022,0.449,0.2345,0.2945,False,True,9
0.54,0.435,0.18,0.996,0.3835,0.226,0.325,False,True,17
0.65,0.5,0.155,1.202,0.565,0.3135,0.294,False,True,11
0.505,0.4,0.135,0.723,0.377,0.149,0.178,False,True,7
0.61,0.475,0.15,1.142,0.62,0.237,0.245,False,True,9
0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,False,True,19
0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,False,True,9
0.515,0.395,0.125,0.6635,0.32,0.14,0.17,True,False,8
0.52,0.405,0.145,0.829,0.3535,0.1685,0.205,False,False,15
0.585,0.415,0.155,0.6985,0.3,0.146,0.195,False,False,12
0.595,0.49,0.185,1.185,0.482,0.2015,0.361,False,True,10
0.6,0.46,0.17,1.1805,0.456,0.337,0.329,False,True,11
0.6,0.46,0.155,0.9595,0.4455,0.189,0.295,False,True,11
0.24,0.18,0.055,0.0555,0.0235,0.013,0.018,True,False,4
0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845,False,False,9
0.565,0.445,0.14,0.836,0.406,0.1605,0.2245,False,True,9
0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,False,False,10
0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,False,False,9
0.265,0.205,0.07,0.1055,0.039,0.041,0.035,True,False,5
0.435,0.33,0.095,0.393,0.219,0.075,0.0885,True,False,6
0.72,0.565,0.17,1.613,0.723,0.3255,0.4945,False,False,12
0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,False,True,9
0.64,0.51,0.17,1.3715,0.567,0.307,0.409,False,True,10
0.655,0.485,0.195,1.62,0.6275,0.358,0.485,False,True,17
0.6,0.475,0.135,1.4405,0.5885,0.191,0.3175,False,False,9
0.525,0.4,0.14,0.6955,0.2405,0.16,0.253,True,False,10
0.74,0.535,0.185,1.65,0.734,0.4505,0.335,False,True,13
0.535,0.425,0.155,0.7765,0.302,0.1565,0.25,False,False,16
0.625,0.49,0.165,1.1835,0.517,0.2375,0.39,False,True,11
0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,False,True,8
0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,False,True,9
0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,False,True,8
0.46,0.36,0.14,0.447,0.161,0.087,0.16,True,False,9
0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,False,False,9
0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,False,False,18
0.695,0.56,0.22,1.834,0.8455,0.422,0.455,False,False,11
0.5,0.375,0.145,0.6215,0.274,0.166,0.1485,False,True,7
0.605,0.485,0.165,1.0105,0.435,0.209,0.3,False,False,19
0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,True,False,6
0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,True,False,4
0.62,0.465,0.185,1.274,0.579,0.3065,0.32,False,True,12
0.46,0.345,0.105,0.415,0.187,0.087,0.11,True,False,8
0.325,0.245,0.075,0.1495,0.0605,0.033,0.045,True,False,5
0.515,0.435,0.145,0.8815,0.292,0.206,0.255,False,True,10
0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,False,True,16
0.56,0.455,0.145,0.974,0.547,0.1615,0.235,True,False,9
0.52,0.405,0.14,0.6915,0.276,0.137,0.215,False,False,11
0.4,0.31,0.1,0.127,0.106,0.071,0.085,True,False,7
0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,False,True,6
0.4,0.29,0.1,0.258,0.104,0.059,0.0815,True,False,7
0.36,0.265,0.09,0.2055,0.096,0.037,0.0585,True,False,7
0.69,0.545,0.205,1.933,0.7855,0.429,0.498,False,False,13
0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,True,False,19
0.645,0.48,0.17,1.1345,0.528,0.254,0.305,False,False,10
0.385,0.3,0.095,0.302,0.152,0.0615,0.0735,True,False,7
0.595,0.465,0.15,1.0765,0.491,0.22,0.287,False,False,9
0.635,0.5,0.165,1.273,0.6535,0.213,0.365,False,True,12
0.25,0.185,0.065,0.071,0.027,0.0185,0.0225,True,False,5
0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,False,False,9
0.675,0.54,0.175,1.5545,0.6645,0.278,0.512,False,True,12
